image_path,label,sha256,source_path,width,height,ink_fraction
data/processed/images/sixteenth_note/003879.png,sixteenth_note,e23b36d00bd2f9cdc2216cb71a7d905aed67f007d6141867030aa6935a57154f,data/raw/datasets/datasets/Notes/Sixteenth/s895.jpg,64,64,0.057373046875
data/processed/images/half_note/001364.png,half_note,b33496cf23f25571d189fdf2c3a55c2ea5a731faa79b8edde996410f7b91cf56,data/raw/datasets/datasets/Notes/Half/h43.jpg,64,64,0.076904296875
data/processed/images/sixteenth_note/003403.png,sixteenth_note,e34b53d7dd8a41fdcd7ec93f56d289ac088c96733387f2cdcdb7811d46d84267,data/raw/datasets/datasets/Notes/Sixteenth/s465.jpg,64,64,0.161865234375
data/processed/images/quarter_note/002388.png,quarter_note,a4e7be036fa5daed69472a6b2f69a72369f8f1177b4ec397af2efdfae4737774,data/raw/datasets/datasets/Notes/Quarter/q451.jpg,64,64,0.02490234375
data/processed/images/sixteenth_note/003917.png,sixteenth_note,1670c2233942481c4d45af2fef0904b4fe76a9b5e39ce2585fbf97dab87f64ca,data/raw/datasets/datasets/Notes/Sixteenth/s929.jpg,64,64,0.054443359375
data/processed/images/quarter_note/002250.png,quarter_note,9cd1b0010a7a28a1f2bb106ba615a11df2aefe2e9b8d83115de665259b9bb0b0,data/raw/datasets/datasets/Notes/Quarter/q327.jpg,64,64,0.06298828125
data/processed/images/sixteenth_note/003379.png,sixteenth_note,a0f3dc7f2451e050a2e39b8c0d0fe64b9167b589ea0698a9108ddc6ab0925c0e,data/raw/datasets/datasets/Notes/Sixteenth/s443.jpg,64,64,0.08447265625
data/processed/images/eighth_note/000740.png,eighth_note,6f3024b8055c4307ddd4739cf5be4aaf0913e8e5875a21760d06a2a464dac92b,data/raw/datasets/datasets/Notes/Eight/e768.jpg,64,64,0.1015625
data/processed/images/whole_note/004882.png,whole_note,370fe44235589a44edfa5e6aabff45973d61fcc5f1745c5c4e7c4dea2d4c8b79,data/raw/datasets/datasets/Notes/Whole/w898.jpg,64,64,0.134765625
data/processed/images/whole_note/004256.png,whole_note,638d7dfd26c3798736bd28c3f8f1b0d097d20890a98d8666a8e5f0a261945e8b,data/raw/datasets/datasets/Notes/Whole/w333.jpg,64,64,0.215576171875
data/processed/images/sixteenth_note/003428.png,sixteenth_note,ad8729955cfdc0fd10dae803a334bfda817f60a399a4c65ae1322417132d02fd,data/raw/datasets/datasets/Notes/Sixteenth/s488.jpg,64,64,0.067626953125
data/processed/images/eighth_note/000449.png,eighth_note,d77c3e80dd9aa10a9a92e7d88d76e44b331b32e05057784c6a05e465aa07cd8d,data/raw/datasets/datasets/Notes/Eight/e502.jpg,64,64,0.032470703125
data/processed/images/sixteenth_note/003044.png,sixteenth_note,6a082b3f5a0212185f4d2928db5a257a144d62d1a26c37a553d186e980d84820,data/raw/datasets/datasets/Notes/Sixteenth/s141.jpg,64,64,0.12744140625
data/processed/images/quarter_note/002443.png,quarter_note,f99930009a6b8ace74871ae5d70239534c7dc68319188397be2466f09a35c77b,data/raw/datasets/datasets/Notes/Quarter/q500.jpg,64,64,0.05810546875
data/processed/images/sixteenth_note/003854.png,sixteenth_note,4be00ea3c00c317decd6dc3b1f31851de3423e4a5fa3f94bcf5b9f02eed1e187,data/raw/datasets/datasets/Notes/Sixteenth/s872.jpg,64,64,0.053955078125
data/processed/images/eighth_note/000079.png,eighth_note,4863200244eeda7489d80cf8b56632c809a7461de9a9d03c117ad15cd1db3300,data/raw/datasets/datasets/Notes/Eight/e17.jpg,64,64,0.033447265625
